Poolesville ,20837,2853,5000,5000,5000
Port Deposit ,21904,179,321,1716,2995
Port Republic ,20676,324,731,897,1920
Port Tobacco ,20677,684,1095,3910,5000
Potomac ,20854,5000,5000,5000,5000
Potomac ,20859,5000,5000,5000,5000
Powellville ,21852,44,629,1278,1809
Preston ,21655,240,372,557,677
Price ,21656,63,130,277,1319
Prince Frederick ,20678,347,537,1868,2495
Princess Anne ,21853,11,421,458,486
Pylesville ,21132,54,813,1585,5000
Quantico ,21856,13,418,479,691
Queen Anne ,21657,74,315,654,697
Queenstown ,21658,244,513,1286,3426
Randallstown ,21133,2910,5000,5000,5000
Rawlings ,21557,67,166,210,342
Rehobeth ,21857,24,33,56,454
Reisterstown ,21136,1163,4202,5000,5000
Rhodesdale ,21659,10,268,780,1062
Riderwood ,21139,4352,5000,5000,5000
Ridge ,20680,1,107,379,393
Ridgely ,21660,38,75,416,1399
Ridgely ,21681,47,94,382,
Ridgely ,21682,47,94,382,
Ridgely ,21683,47,94,382,
Ridgely ,21684,47,94,382,
Ridgely ,21685,47,94,382,
Ridgely ,21686,47,94,382,
Ridgely ,21687,47,94,382,
Ridgely ,21688,47,94,382,
Rising Sun ,21911,139,516,1691,3664
Riva ,21140,3983,5000,5000,5000
Riverdale ,20737,4745,5000,5000,5000
Riverdale ,20738,4867,5000,5000,5000
Rock Hall ,21661,147,333,2721,5000
Rock Point ,20682,32,141,515,1799
Rockville ,20847,4701,5000,5000,5000
Rockville ,20848,4678,5000,5000,5000
Rockville ,20849,4832,5000,5000,5000
Rockville ,20850,4795,5000,5000,5000
Rockville ,20851,4467,5000,5000,5000
Rockville ,20852,4782,5000,5000,5000
Rockville ,20853,4598,5000,5000,5000
Rockville ,20857,4711,5000,5000,5000
Rocky Ridge ,21778,47,606,1665,2505
Rohrersville ,21779,114,1519,2150,2964
Rosedale ,21237,3727,5000,5000,5000
Royal Oak ,21662,278,367,553,1743
Sabillasville ,21780,139,445,1434,2006
Saint Inigoes ,20684,3,288,371,406
Saint James ,21781,456,828,1320,2273
Saint Leonard ,20685,434,723,765,1157
Saint Marys City ,20686,278,359,372,440
Saint Michaels ,21663,284,498,1274,3334
Salisbury ,21801,444,462,604,803
Salisbury ,21802,443,459,584,845
Salisbury ,21803,434,458,573,813
Salisbury ,21804,422,453,523,867
Sandy Spring ,20860,5000,5000,5000,5000
Savage ,20763,3527,5000,5000,5000
